gene_name	gene_ID	transcript_ID	alteration	chromosome_37	start_37	end_37	action	link	role_in_cancer
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Therapeutic (IMT)	https://www.mycancergenome.org/content/disease/inflammatory-myofibroblastic-tumor/alk/66/	oncogene
ALK	ENSG00000171094	ENST00000389048	Fusion	NA	NA	NA	Therapeutic (NSC lung ca)	https://www.mycancergenome.org/content/disease/lung-cancer/alk/66/	oncogene
ERBB2	ENSG00000141736	ENST00000269571	Amplification	NA	NA	NA	Therapeutic (GEJ ca)		oncogene
ERBB2	ENSG00000141736	ENST00000269571	Amplification	NA	NA	NA	Therapeutic (breast ca)	https://www.mycancergenome.org/content/disease/breast-cancer/erbb2/119/	oncogene
ERBB2	ENSG00000141736	ENST00000269571	Amplification	NA	NA	NA	Therapeutic (gastric ca)	https://www.mycancergenome.org/content/disease/gastric-cancer/erbb2/119/	oncogene
KIT	ENSG00000157404	ENST00000288135	Amplification	NA	NA	NA	Therapeutic (melanoma)	https://www.mycancergenome.org/content/disease/melanoma/kit/338/	oncogene
MET	ENSG00000105976	ENST00000318493	Amplification	NA	NA	NA	Therapeutic (NSC lung ca)	https://www.mycancergenome.org/content/disease/lung-cancer/met/59/	oncogene
RET	ENSG00000165731	ENST00000355710	Fusion	NA	NA	NA	Therapeutic (NSC lung ca)	https://www.mycancergenome.org/content/disease/lung-cancer/ret/127/	oncogene
RET	ENSG00000165731	ENST00000355710	Fusion	NA	NA	NA	Therapeutic (thyroid medullary ca)	https://www.mycancergenome.org/content/disease/thyroid-cancer/ret/127/	oncogene
ROS1	ENSG00000047936	ENST00000368508	Fusion	NA	NA	NA	Therapeutic (NSC lung ca)	https://www.mycancergenome.org/content/disease/lung-cancer/ros1/67/	oncogene
AFDN	ENSG00000130396	ENST00000392112	Fusion	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02508467	
AFDN	ENSG00000130396	ENST00000392112	Fusion	NA	NA	NA	Trial (hepatocellular ca)	https://clinicaltrials.gov/ct2/show/NCT02508467	
AFF1	ENSG00000172493	ENST00000395146	Fusion	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02508467	
AFF1	ENSG00000172493	ENST00000395146	Fusion	NA	NA	NA	Trial (hepatocellular ca)	https://clinicaltrials.gov/ct2/show/NCT02508467	
AKT1	ENSG00000142208	ENST00000555528	Amplification	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT1	ENSG00000142208	ENST00000555528	Amplification	NA	NA	NA	Trial (NSC lung ca)	https://clinicaltrials.gov/ct2/show/NCT02664935	oncogene
AKT1	ENSG00000142208	ENST00000555528	Amplification	NA	NA	NA	Trial (RCC)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT1	ENSG00000142208	ENST00000555528	Amplification	NA	NA	NA	Trial (SCC Lung)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT1	ENSG00000142208	ENST00000555528	Amplification	NA	NA	NA	Trial (breast ca)	https://clinicaltrials.gov/ct2/show/NCT02583542	oncogene
AKT1	ENSG00000142208	ENST00000555528	Amplification	NA	NA	NA	Trial (ca)	https://clinicaltrials.gov/ct2/show/NCT02338622	oncogene
